Company,Rank,Year,Industry,Headquarters_state,Revenue_mil,profit_mil
Archer-Daniels-Midland Company,27,2009,Food Production,IL,69816,9774.24
Target Corporation,28,2009,General Merchandisers,MN,64948,9092.72
Johnson & Johnson,29,2009,Pharmaceuticals,NJ,63747,8924.58
Morgan Stanley,30,2009,Commercial Banks,NY,62262,8716.68
State Farm Insurance Cos.,31,2009,Insurance: Property and Casualty (Mutual),IL,61343.4,8588.076
"WellPoint, Inc.",32,2009,Health Care: Insurance and Managed Care,IN,61251.1,8575.154
Dell Inc.,33,2009,"Computers, Office Equipment",TX,61101,8554.14
The Boeing Company,34,2009,Aerospace & Defense,IL,60909,8527.26
Microsoft Corporation,35,2009,Computer Software,WA,60420,8458.8
Walgreen Co.,36,2009,Food & Drug Stores,IL,59034,8264.76
United Technologies Corporation,37,2009,Aerospace & Defense,CT,58681,8215.34
The Dow Chemical Company,38,2009,Chemicals,MI,57514,8051.96
"MetLife, Inc.",39,2009,"Insurance: Life, Health (Stock)",NY,55085,7711.9
"The Goldman Sachs Group, Inc.",40,2009,Commercial Banks,NY,53579,7501.06
Wells Fargo & Company,41,2009,Commercial Banks,CA,51652,7231.28
"Sunoco, Inc.",41,2009,Petroleum Refining,PA,51652,7231.28
"United Parcel Service, Inc.",43,2009,"Mail, Package, and Freight Delivery",GA,51486,7208.04
Caterpillar Inc.,44,2009,Construction and Farm Machinery,IL,51324,7185.36
"Medco Health Solutions, Inc.",45,2009,Health Care: Pharmacy and Other Services,NJ,51258,7176.12
Pfizer Inc.,46,2009,Pharmaceuticals,NY,48296,6761.44
"Lowe's Companies, Inc.",47,2009,Specialty Retailers,NC,48230,6752.2
Time Warner Inc.,48,2009,Entertainment,NY,46984,6577.76
Sears Holdings Corporation,49,2009,General Merchandisers,IL,46770,6547.8
Safeway Inc.,50,2009,Food & Drug Stores,CA,44104,6174.56
Supervalu Inc.,51,2009,Food & Drug Stores,MN,44048,6166.72
"PepsiCo, Inc.",52,2009,Food Consumer Products,NY,43251,6055.14
Kraft Foods Inc.,53,2009,Food Consumer Products,IL,42867,6001.38
Lockheed Martin Corporation,54,2009,Aerospace & Defense,MD,42731,5982.34
Hess Corporation,55,2009,Petroleum Refining,NY,41094,5753.16
Best Buy Co. Inc.,56,2009,Specialty Retailers,MN,40023,5603.22
"Cisco Systems, Inc.",57,2009,Network and Other Communications Equipment,CA,39540,5535.6
"Johnson Controls, Inc.",58,2009,Motor Vehicles & Parts,WI,38062,5328.68
FedEx Corporation,59,2009,"Mail, Package, and Freight Delivery",TN,37953,5313.42
The Walt Disney Company,60,2009,Entertainment,CA,37843,5298.02
Intel Corporation,61,2009,Semiconductors and Other Electronic Components,CA,37586,5262.04
Sysco Corporation,62,2009,Wholesalers: Food and Grocery,TX,37522.1,5253.094
Honeywell International Inc.,63,2009,Aerospace & Defense,NJ,36556,5117.84
Sprint Nextel Corporation,64,2009,Telecommunications,KS,35635,4988.9
"Enterprise GP Holdings, L.P.",65,2009,Pipelines,TX,35469.6,4965.744
GMAC LLC,66,2009,Commercial Banks,MI,35445,4962.3
Ingram Micro Inc.,67,2009,Wholesalers: Electronics and Office Equipment,CA,34362.2,4810.708
Comcast Corporation,68,2009,Telecommunications,PA,34256,4795.84
Northrop Grumman Corporation,69,2009,Aerospace & Defense,CA,33940,4751.6
News Corporation,70,2009,Entertainment,NY,32996,4619.44
"Apple , Inc.",71,2009,"Computers, Office Equipment",CA,32479,4547.06
CHS Inc.,72,2009,Wholesalers: Food and Grocery,MN,32167.5,4503.45
The Coca-Cola Company,73,2009,Beverages,GA,31944,4472.16
American Express Company,74,2009,Commercial Banks,NY,31877,4462.78
E.I. du Pont de Nemours and Company,75,2009,Chemicals,DE,31836,4457.04
New York Life Insurance Company,76,2009,"Insurance: Life, Health (Mutual)",NY,31416.2,4398.268
Aetna Inc.,77,2009,Health Care: Insurance and Managed Care,CT,30950.7,4333.098
"Motorola, Inc.",78,2009,Network and Other Communications Equipment,IL,30146,4220.44
"Plains All American Pipeline, L.P.",79,2009,Pipelines,TX,30061,4208.54
Abbott Laboratories,80,2009,Pharmaceuticals,IL,29527.6,4133.864
The Allstate Corporation,81,2009,Insurance: Property and Casualty (Stock),IL,29394,4115.16
Teachers Insurance and Annuity Association College Retiremen,82,2009,"Insurance: Life, Health (Mutual)",NY,29362.5,4110.75
General Dynamics Corporation,83,2009,Aerospace & Defense,VA,29302,4102.28
"Prudential Financial, Inc.",84,2009,"Insurance: Life, Health (Stock)",NJ,29275,4098.5
Humana Inc.,85,2009,Health Care: Insurance and Managed Care,KY,28946.4,4052.496
Liberty Mutual Holding Company Inc.,86,2009,Insurance: Property and Casualty (Stock),MA,28855,4039.7
Deere & Company,87,2009,Construction and Farm Machinery,IL,28437.6,3981.264
HCA Inc,88,2009,Health Care: Medical Facilities,TN,28374,3972.36
"Tyson Foods, Inc.",89,2009,Food Production,AR,28130,3938.2
"Alcoa, Inc.",90,2009,Metals,NY,28119,3936.66
Tesoro Corporation,91,2009,Petroleum Refining,TX,28031,3924.34
Murphy Oil Corporation,92,2009,Petroleum Refining,AR,27512.5,3851.75
Philip Morris International Inc.,93,2009,Tobacco,NY,25705,3598.7
Emerson Electric Co.,94,2009,"Electronics, Electrical Equipment",MO,25281,3539.34
3M Company,95,2009,zMiscellaneous,MN,25269,3537.66
"Macy's, Inc.",96,2009,General Merchandisers,OH,24892,3484.88
International Paper Company,97,2009,Forest and Paper Products,TN,24829,3476.06
Occidental Petroleum Corporation,98,2009,"Mining, Crude-Oil Production",CA,24480,3427.2
"The Travelers Companies, Inc.",99,2009,Insurance: Property and Casualty (Stock),NY,24477,3426.78
Rite Aid Corporation,100,2009,Food & Drug Stores,PA,24417.7,3418.478
"Publix Super Markets, Inc.",101,2009,Food & Drug Stores,FL,24109.6,3375.344
Tech Data Corporation,102,2009,Wholesalers: Electronics and Office Equipment,FL,24080.5,3371.27
"Merck & Co., Inc.",103,2009,Pharmaceuticals,NJ,23850.3,3339.042
AMR Corporation,104,2009,Airlines,TX,23766,3327.24
United States Steel Corporation,105,2009,Metals,PA,23754,3325.56
Nucor Corporation,106,2009,Metals,NC,23663.3,3312.862
McDonald's Corporation,107,2009,Food Services,IL,23522.4,3293.136
Raytheon Company,108,2009,Aerospace & Defense,MA,23174,3244.36
"Staples, Inc.",109,2009,Specialty Retailers,MA,23083.8,3231.732
Wyeth,110,2009,Pharmaceuticals,NJ,22833.9,3196.746
"Delta Air Lines, Inc.",111,2009,Airlines,GA,22697,3177.58
Fannie Mae,112,2009,Diversified Financials,DC,22652,3171.28
Oracle Corporation,113,2009,Computer Software,CA,22430,3140.2
Fluor Corporation,114,2009,Engineering & Construction,TX,22325.9,3125.626
"Express Scripts, Inc.",115,2009,Health Care: Pharmacy and Other Services,MO,22022.7,3083.178
Coca-Cola Enterprises Inc.,116,2009,Beverages,GA,21807,3052.98
Google Inc.,117,2009,Internet Services and Retailing,CA,21795.6,3051.384
Northwestern Mutual Life Insurance Company,118,2009,"Insurance: Life, Health (Mutual)",WI,21734.4,3042.816
Manpower Inc.,119,2009,Temporary Help,WI,21552.8,3017.392
Bristol-Myers Squibb Company,120,2009,Pharmaceuticals,NY,21366,2991.24
Delphi Corporation,121,2009,Motor Vehicles & Parts,MI,20383,2853.62
Eli Lilly and Company,122,2009,Pharmaceuticals,IN,20378,2852.92
UAL Corporation,123,2009,Airlines,IL,20194,2827.16
Nationwide Mutual Insurance Co.,124,2009,Insurance: Property and Casualty (Stock),OH,19848,2778.72
"Constellation Energy Group, Inc.",125,2009,Energy,MD,19818.3,2774.562
"The DirecTV Group, Inc.",126,2009,Telecommunications,CA,19693,2757.02
The Goodyear Tire & Rubber Company,127,2009,Motor Vehicles & Parts,OH,19488,2728.32
Kimberly-Clark Corporation,128,2009,Household and Personal Products,TX,19415,2718.1
U.S. Bancorp,129,2009,Commercial Banks,MN,19229,2692.06
Amazon.Com Inc.,130,2009,Internet Services and Retailing,WA,19166,2683.24
"The TJX Companies, Inc.",131,2009,Specialty Retailers,MA,19147.5,2680.65
CIGNA Corporation,132,2009,Health Care: Insurance and Managed Care,PA,19101,2674.14
Whirlpool Corporation,133,2009,"Electronics, Electrical Equipment",MI,18907,2646.98
Exelon Corporation,134,2009,Utilities: Gas and Electric,IL,18859,2640.26
Massachusetts Financial Group,135,2009,"Insurance: Life, Health (Mutual)",MA,18744.6,2624.244
"Nike, Inc.",136,2009,Apparel,OR,18627,2607.78
World Fuel Services Corporation,137,2009,Wholesalers: Diversified,FL,18509.4,2591.316
Schering-Plough Corporation,138,2009,Pharmaceuticals,NJ,18502,2590.28
"J.C. Penney Company, Inc.",139,2009,General Merchandisers,TX,18486,2588.04
International Assets Holding Corporation,140,2009,Diversified Financials,FL,18358.9,2570.246
Halliburton Company,141,2009,"Oil and Gas Equipment, Services",TX,18279,2559.06
Burlington Northern Santa Fe Corp.,142,2009,Railroads,TX,18018,2522.52
Union Pacific Corporation,143,2009,Railroads,NE,17970,2515.8
"Avnet, Inc.",144,2009,Wholesalers: Electronics and Office Equipment,AZ,17952.7,2513.378
Capital One Financial Corporation,145,2009,Commercial Banks,VA,17868.5,2501.59
"Freeport-McMoRan Copper & Gold, Inc.",146,2009,"Mining, Crude-Oil Production",AZ,17796,2491.44
Xerox Corporation,147,2009,"Computers, Office Equipment",CT,17608,2465.12
Illinois Tool Works Inc.,148,2009,Industrial Machinery,IL,17217.9,2410.506
The Southern Company,149,2009,Utilities: Gas and Electric,GA,17127,2397.78
"Merrill Lynch & Co., Inc.",150,2009,Securities,NY,16784,2349.76
"Arrow Electronics, Inc",151,2009,Wholesalers: Electronics and Office Equipment,NY,16761,2346.54
AFLAC Incorporated,152,2009,"Insurance: Life, Health (Stock)",GA,16554,2317.56
Computer Sciences Corporation,153,2009,Information Technology Services,VA,16499.5,2309.93
"FPL Group, Inc.",154,2009,Utilities: Gas and Electric,FL,16410,2297.4
Kohl's Corporation,155,2009,General Merchandisers,WI,16389,2294.46
The Bank of New York Mellon Corporation,156,2009,Commercial Banks,NY,16355,2289.7
"Dominion Resources, Inc.",157,2009,Utilities: Gas and Electric,VA,16290,2280.6
The AES Corporation,158,2009,Energy,VA,16170,2263.8
"Oneok, Inc.",159,2009,Pipelines,OK,16157.4,2262.036
"Altria Group, Inc.",160,2009,Tobacco,VA,15957,2233.98
"PPG Industries, Inc.",161,2009,Chemicals,PA,15849,2218.86
Anadarko Petroleum Corp.,162,2009,"Mining, Crude-Oil Production",TX,15723,2201.22
Devon Energy Corporation,163,2009,"Mining, Crude-Oil Production",OK,15560,2178.4
Eaton Corporation,164,2009,Industrial Machinery,OH,15376,2152.64
"Health Net, Inc.",165,2009,Health Care: Insurance and Managed Care,CA,15366.6,2151.324
Colgate-Palmolive Company,166,2009,Household and Personal Products,NY,15329.9,2146.186
"Continental Airlines, Inc.",167,2009,Airlines,TX,15241,2133.74
"Amgen, Inc",168,2009,Pharmaceuticals,CA,15003,2100.42
TRW Automotive Holdings Corp.,169,2009,Motor Vehicles & Parts,MI,14995,2099.3
PACCAR Inc,170,2009,Motor Vehicles & Parts,WA,14972.5,2096.15
"L-3 Communications Holdings, Inc.",171,2009,Aerospace & Defense,NY,14901,2086.14
EMC Corporation,172,2009,Computer Peripherals,MA,14876.2,2082.668
Textron Inc.,173,2009,Aerospace & Defense,RI,14806,2072.84
Loews Corporation,174,2009,Insurance: Property and Casualty (Stock),NY,14733,2062.62
Navistar International Corporation,175,2009,Motor Vehicles & Parts,IL,14724,2061.36
PG&E Corporation,176,2009,Utilities: Gas and Electric,CA,14628,2047.92
"Viacom, Inc.",177,2009,Entertainment,NY,14625,2047.5
"The Gap, Inc.",178,2009,Specialty Retailers,CA,14526,2033.64
"Office Depot, Inc.",179,2009,Specialty Retailers,FL,14495.5,2029.37
"American Electric Power Company, Inc.",180,2009,Energy,OH,14442,2021.88
Cummins Inc.,181,2009,Construction and Farm Machinery,IN,14342,2007.88
"Autonation, Inc.",182,2009,"Automotive Retailing, Services",FL,14288,2000.32
"Smithfield Foods, Inc.",183,2009,Food Production,VA,14264.1,1996.974
Edison International,184,2009,Utilities: Gas and Electric,CA,14112,1975.68
"Integrys Energy Group, Inc.",185,2009,Energy,IL,14047.8,1966.692
CBS Corporation,186,2009,Entertainment,NY,13950.4,1953.056
"Sun Microsystems, Inc.",187,2009,"Computers, Office Equipment",CA,13880,1943.2
"ConAgra Foods, Incorporated",188,2009,Food Consumer Products,NE,13808.7,1933.218
"The Pepsi Bottling Group, Inc.",189,2009,Beverages,NY,13796,1931.44
"Public Service Enterprise Group, Inc.",190,2009,Utilities: Gas and Electric,NJ,13741,1923.74
"Consolidated Edison, Inc.",191,2009,Utilities: Gas and Electric,NY,13725.9,1921.626
"Toys "" R "" Us, Inc.",192,2009,Specialty Retailers,NJ,13724,1921.36
"General Mills, Inc.",193,2009,Food Consumer Products,MN,13652.1,1911.294
FirstEnergy Corp.,194,2009,Utilities: Gas and Electric,OH,13627,1907.78
Lear Corporation,195,2009,Motor Vehicles & Parts,MI,13570.5,1899.87
"Medtronic, Inc.",196,2009,Medical Products and Equipment,MN,13515,1892.1
Qwest Communications International Inc.,197,2009,Telecommunications,CO,13475,1886.5
Aramark Corporation,198,2009,Diversified Outsourcing Services,PA,13470.2,1885.828
Sara Lee Corporation,199,2009,Food Consumer Products,IL,13450,1883
"National Oilwell Varco, Inc.",200,2009,"Oil and Gas Equipment, Services",TX,13431.4,1880.396
"Waste Management, Inc.",201,2009,Waste Management,TX,13388,1874.32
Omnicom Group Inc.,202,2009,"Advertising, Marketing",NY,13359.9,1870.386
The Chubb Corporation,203,2009,Insurance: Property and Casualty (Stock),NJ,13221,1850.94
Duke Energy Corporation,204,2009,Utilities: Gas and Electric,NC,13212,1849.68
Entergy Corporation,205,2009,Utilities: Gas and Electric,LA,13093.8,1833.132
State Street Corporation,206,2009,Commercial Banks,MA,12922,1809.08
United Services Automobile Association,207,2009,Insurance: Property and Casualty (Stock),TX,12912,1807.68
"Marriott International, Inc.",208,2009,"Hotels, Casinos, Resorts",MD,12880,1803.2
The Progressive Corporation,209,2009,Insurance: Property and Casualty (Stock),OH,12840.1,1797.614
Kellogg Company,210,2009,Food Consumer Products,MI,12822,1795.08
"SunTrust Banks, Inc.",211,2009,Commercial Banks,GA,12800.8,1792.112
"Jabil Circuit, Inc.",212,2009,Semiconductors and Other Electronic Components,FL,12779.7,1789.158
Danaher Corporation,213,2009,"Scientific, Photographic and Control Equipment",DC,12697.5,1777.65
"Reliant Energy, Inc.",214,2009,Energy,TX,12553.2,1757.448
Texas Instruments Incorporated,215,2009,Semiconductors and Other Electronic Components,TX,12501,1750.14
Dean Foods Company,216,2009,Food Consumer Products,TX,12454.6,1743.644
Apache Corporation,217,2009,"Mining, Crude-Oil Production",TX,12389.8,1734.572
"The Williams Companies, Inc.",218,2009,Energy,OK,12357,1729.98
Baxter International Inc.,219,2009,Medical Products and Equipment,IL,12348,1728.72
Freddie Mac,220,2009,Diversified Financials,VA,12302,1722.28
Parker-Hannifin Corporation,221,2009,Industrial Machinery,OH,12145.6,1700.384
"US Airways Group, Inc.",222,2009,Airlines,AZ,12118,1696.52
"Knight, Inc.",223,2009,Pipelines,TX,12094.8,1693.272
"Land O'Lakes, Inc.",224,2009,Food Consumer Products,MN,12039.3,1685.502
"Penske Automotive Group, Inc.",225,2009,"Automotive Retailing, Services",MI,11917.7,1668.478
Coventry Health Care Inc.,226,2009,Health Care: Insurance and Managed Care,MD,11913.6,1667.904
Baker Hughes Incorporated,227,2009,"Oil and Gas Equipment, Services",TX,11864,1660.96
"Circuit City Stores, Inc.",228,2009,Specialty Retailers,VA,11743.7,1644.118
ITT Corporation,229,2009,Industrial Machinery,NY,11702.5,1638.35
Chesapeake Energy Corporation,230,2009,"Mining, Crude-Oil Production",OK,11629,1628.06
DISH Network Corporation,231,2009,Telecommunications,CO,11617.2,1626.408
"Marsh & McLennan Companies, Inc.",232,2009,Diversified Financials,NY,11587,1622.18
R.R. Donnelley & Sons Company,233,2009,"Publishing, Printing",IL,11581.6,1621.424
"KBR, Inc.",234,2009,Engineering & Construction,TX,11581,1621.34
Monsanto Company,235,2009,Chemicals,MO,11579,1621.06
Weyerhaeuser Company,236,2009,Forest and Paper Products,WA,11401,1596.14
Energy Future Holdings Corp.,237,2009,Energy,TX,11364,1590.96
"CenterPoint Energy, Inc.",238,2009,Utilities: Gas and Electric,TX,11322,1585.08
"Yum! Brands, Inc.",239,2009,Food Services,KY,11279,1579.06
CSX Corporation,240,2009,Railroads,FL,11255,1575.7
Jacobs Engineering Group Inc.,241,2009,Engineering & Construction,CA,11252.2,1575.308
Xcel Energy Inc.,242,2009,Utilities: Gas and Electric,MN,11203.2,1568.448
"Community Health Systems, Inc.",243,2009,Health Care: Medical Facilities,TN,11156.4,1561.896
"Qualcomm, Inc.",244,2009,Network and Other Communications Equipment,CA,11142,1559.88
"American International Group,Inc.",245,2009,Insurance: Property and Casualty (Stock),NY,11104,1554.56
Southwest Airlines Co.,246,2009,Airlines,TX,11023,1543.22
Genuine Parts Company,247,2009,Wholesalers: Diversified,GA,11015.3,1542.142
"Air Products & Chemicals, Inc.",248,2009,Chemicals,PA,10938.6,1531.404
"Praxair, Inc.",249,2009,Chemicals,CT,10796,1511.44
"Smith International, Inc.",250,2009,"Oil and Gas Equipment, Services",TX,10770.8,1507.912
Commercial Metals Company,251,2009,Metals,TX,10764.6,1507.044
Sempra Energy,252,2009,Utilities: Gas and Electric,CA,10758,1506.12
"Western Refining, Inc.",253,2009,Petroleum Refining,TX,10725.6,1501.584
"Pepco Holdings, Inc.",254,2009,Utilities: Gas and Electric,DC,10700,1498
"Avon Products, Inc.",255,2009,Household and Personal Products,NY,10690.1,1496.614
Norfolk Southern Corporation,256,2009,Railroads,VA,10661,1492.54
"Liberty Global, Inc.",257,2009,Telecommunications,CO,10561.1,1478.554
Thermo Fisher Scientific Inc.,258,2009,"Scientific, Photographic and Control Equipment",MA,10498,1469.72
Dollar General Corporation,259,2009,General Merchandisers,TN,10457.7,1464.078
BB&T Corporation,260,2009,Commercial Banks,NC,10404,1456.56
Starbucks Corporation,261,2009,Food Services,WA,10383,1453.62
Huntsman Corporation,262,2009,Chemicals,UT,10215,1430.1
"Harrah's Entertainment, Inc.",263,2009,"Hotels, Casinos, Resorts",NV,10127,1417.78
URS Corporation,264,2009,Engineering & Construction,CA,10086.3,1412.082
Liberty Media Corporation,265,2009,Internet Services and Retailing,CO,10084,1411.76
"SAIC, Inc.",266,2009,Information Technology Services,CA,10078,1410.92
H.J. Heinz Company,267,2009,Food Consumer Products,PA,10070.8,1409.912
"Enbridge Energy Partners, L.P.",268,2009,Pipelines,TX,10060,1408.4
"BJ's Wholesale Club, Inc.",269,2009,Specialty Retailers,MA,10027.4,1403.836
Unum Group,270,2009,"Insurance: Life, Health (Stock)",TN,9982.3,1397.522
"Genworth Financial , Inc.",271,2009,"Insurance: Life, Health (Stock)",VA,9948,1392.72
Calpine Corporation,272,2009,Energy,TX,9937,1391.18
"Principal Financial Group, Inc.",273,2009,"Insurance: Life, Health (Stock)",IA,9935.9,1391.026
Lincoln National Corporation,274,2009,"Insurance: Life, Health (Stock)",PA,9905,1386.7
Terex Corporation,275,2009,Construction and Farm Machinery,CT,9889.6,1384.544
The Mosaic Company,276,2009,Chemicals,MN,9812.6,1373.764
Masco Corporation,277,2009,"Home Equipment, Furnishings",MI,9700,1358
The PNC Financial Services Group Inc.,278,2009,Commercial Banks,PA,9680,1355.2
Guardian Life Ins. Co. of America,279,2009,"Insurance: Life, Health (Mutual)",NY,9675,1354.5
Regions Financial Corporation,280,2009,Commercial Banks,AL,9636.6,1349.124
Rohm and Haas Company,281,2009,Chemicals,PA,9575,1340.5
Visteon Corporation,282,2009,Motor Vehicles & Parts,MI,9544,1336.16
Tenet Healthcare Corporation,283,2009,Health Care: Medical Facilities,TX,9494,1329.16
Eastman Kodak Company,284,2009,"Scientific, Photographic and Control Equipment",NY,9416,1318.24
DTE Energy Company,285,2009,Utilities: Gas and Electric,MI,9336,1307.04
"Energy Transfer Equity, L.P.",286,2009,Pipelines,TX,9293.4,1301.076
The Hartford Financial Services Group Inc.,287,2009,Insurance: Property and Casualty (Stock),CT,9219,1290.66
"Progress Energy, Inc.",288,2009,Utilities: Gas and Electric,NC,9186,1286.04
NiSource Inc.,289,2009,Utilities: Gas and Electric,IN,9069.5,1269.73
"Limited Brands, Inc.",290,2009,Specialty Retailers,OH,9043,1266.02
Global Partners LP,291,2009,Energy,MA,9019.1,1262.674
Sanmina-SCI Corporation,292,2009,Semiconductors and Other Electronic Components,CA,9004.9,1260.686
YRC Worldwide Inc.,293,2009,"Trucking, Truck Leasing",KS,8940.4,1251.656
Reynolds American Inc.,294,2009,Tobacco,NC,8845,1238.3
First Data Corporation,295,2009,Financial Data Services,CO,8811.3,1233.582
GameStop Corp.,296,2009,Specialty Retailers,TX,8805.9,1232.826
"Automatic Data Processing, Inc.",297,2009,Diversified Outsourcing Services,NJ,8776.5,1228.71
Reliance Steel & Aluminum Co.,298,2009,Wholesalers: Diversified,CA,8718.8,1220.632
"Assurant, Inc.",299,2009,Insurance: Property and Casualty (Stock),NY,8601.2,1204.168
"C. H. Robinson Worldwide, Inc.",300,2009,Transportation and Logistics,MN,8578.6,1201.004
"Nordstrom, Inc.",301,2009,General Merchandisers,WA,8573,1200.22
Fifth Third Bancorp,302,2009,Commercial Banks,OH,8554,1197.56
eBay Inc.,303,2009,Internet Services and Retailing,CA,8541.3,1195.782
Pilgrim's Pride Corporation,304,2009,Food Production,TX,8525.1,1193.514
"Hertz Global Holdings, Inc.",305,2009,"Automotive Retailing, Services",NJ,8525.1,1193.514
AGCO Corporation,306,2009,Construction and Farm Machinery,GA,8424.6,1179.444
Aon Corporation,307,2009,Diversified Financials,IL,8406,1176.84
Centex Corporation,308,2009,Homebuilders,TX,8405.7,1176.798
Campbell Soup Co.,309,2009,Food Consumer Products,NJ,8391,1174.74
Ashland Inc.,310,2009,Chemicals,KY,8381,1173.34
"CarMax, Inc.",311,2009,"Automotive Retailing, Services",VA,8318.8,1164.632
"Crown Holdings, Inc.",312,2009,"Packaging, Containers",PA,8305,1162.7
OfficeMax Incorporated,313,2009,Specialty Retailers,IL,8267,1157.38
PPL Corporation,314,2009,Utilities: Gas and Electric,PA,8206,1148.84
"Applied Materials, Inc.",315,2009,Semiconductors and Other Electronic Components,CA,8129.2,1138.088
Dana Holding Corporation,316,2009,Motor Vehicles & Parts,OH,8101,1134.14
"The Pantry, Inc.",317,2009,Specialty Retailers,NC,8088.6,1132.404
"Steel Dynamics, Inc.",318,2009,Metals,IN,8080.5,1131.27
Western Digital Corporation,319,2009,Computer Peripherals,CA,8074,1130.36
Boston Scientific Corporation,320,2009,Medical Products and Equipment,MA,8050,1127
"Peter Kiewit Sons', Inc.",321,2009,Engineering & Construction,NE,8012,1121.68
The Sherwin-Williams Company,322,2009,Chemicals,OH,7979.7,1117.158
"Targa Resources, Inc.",323,2009,Pipelines,TX,7970.2,1115.828
"Whole Foods Market, Inc.",325,2009,Household and Personal Products,NY,7910.8,1107.512
"Owens-Illinois, Inc.",326,2009,"Packaging, Containers",OH,7884.7,1103.858
Ameren Corporation,327,2009,Utilities: Gas and Electric,MO,7839,1097.46
Synnex Corp.,328,2009,Wholesalers: Electronics and Office Equipment,CA,7768.2,1087.548
"Dole Food Company, Inc.",329,2009,Food Consumer Products,CA,7732.4,1082.536
"XTO Energy, Inc.",330,2009,"Mining, Crude-Oil Production",TX,7695,1077.3
SLM Corporation,331,2009,Diversified Financials,VA,7689.4,1076.516
TravelCenters of America LLC,332,2009,Specialty Retailers,OH,7658.4,1072.176
Dover Corporation,333,2009,Industrial Machinery,NY,7653,1071.42
AK Steel Holding Corporation,334,2009,Metals,OH,7644.3,1070.202
V.F. Corporation,335,2009,Apparel,NC,7642.6,1069.964
Ball Corporation,336,2009,"Packaging, Containers",CO,7561.5,1058.61
"Sonic Automotive, Inc.",337,2009,"Automotive Retailing, Services",NC,7488,1048.32
Virgin Media Inc.,338,2009,Telecommunications,NY,7439.9,1041.586
"Owens & Minor, Inc.",339,2009,Wholesalers: Health Care,VA,7337.6,1027.264
"Winn-Dixie Stores, Inc.",340,2009,Food & Drug Stores,FL,7281.4,1019.396
Quest Diagnostics Incorporated,341,2009,Health Care: Pharmacy and Other Services,NJ,7249.4,1014.916
Cablevision Systems Corporation,342,2009,Telecommunications,NY,7230.1,1012.214
Atmos Energy Corporation,343,2009,Utilities: Gas and Electric,TX,7221.3,1010.982
MGM MIRAGE,344,2009,"Hotels, Casinos, Resorts",NV,7208.8,1009.232
Yahoo! Inc.,345,2009,Internet Services and Retailing,CA,7208.5,1009.19
"ArvinMeritor, Inc.",346,2009,Motor Vehicles & Parts,MI,7174,1004.36
"Becton, Dickinson and Company",347,2009,Medical Products and Equipment,NJ,7158.5,1002.19
"Ameriprise Financial, Inc.",348,2009,Diversified Financials,MN,7149,1000.86
Oshkosh Corporation,349,2009,Motor Vehicles & Parts,WI,7138.3,999.362
"EOG Resources, Inc",350,2009,"Mining, Crude-Oil Production",TX,7127.1,997.794
"Fortune Brands, Inc.",351,2009,"Home Equipment, Furnishings",IL,7105.1,994.714
Discover Financial Services,352,2009,Financial Data Services,IL,7088,992.32
Peabody Energy Corporation,353,2009,"Mining, Crude-Oil Production",MO,7074,990.36
Goodrich Corporation,354,2009,Aerospace & Defense,NC,7061.7,988.638
"Bed Bath & Beyond, Inc.",355,2009,Specialty Retailers,NJ,7048.9,986.846
Smurfit-Stone Container Corporation,356,2009,"Packaging, Containers",IL,7042,985.88
"The Shaw Group, Inc.",357,2009,Engineering & Construction,LA,6998,979.72
Dillard's Inc.,358,2009,General Merchandisers,AR,6988.4,978.376
"Family Dollar Stores, Inc.",359,2009,General Merchandisers,NC,6983.6,977.704
"The Great Atlantic & Pacific Tea Company, Inc.",360,2009,Food & Drug Stores,NJ,6963.8,974.932
"The Interpublic Group of Companies, Inc.",361,2009,"Advertising, Marketing",NY,6962.7,974.778
Precision Castparts Corporation,362,2009,Aerospace & Defense,OR,6916.4,968.296
"NRG Energy, Inc.",363,2009,Energy,NJ,6905,966.7
Eastman Chemical Company,364,2009,Chemicals,TN,6895,965.3
MeadWestvaco Corporation,365,2009,"Packaging, Containers",VA,6890,964.6
"W.W. Grainger, Inc.",366,2009,Wholesalers: Diversified,IL,6850,959
"Mohawk Industries, Inc.",367,2009,zMiscellaneous,GA,6826.3,955.682
Celanese Corporation,368,2009,Chemicals,TX,6823,955.22
CMS Energy Corporation,369,2009,Utilities: Gas and Electric,MI,6821,954.94
"Emcor Group, Inc.",370,2009,Engineering & Construction,CT,6785.2,949.928
"Gannett Co., Inc.",371,2009,"Publishing, Printing",VA,6767.7,947.478
"CC Media Holdings, Inc.",372,2009,Entertainment,TX,6764.8,947.072
Hormel Foods Corporation,373,2009,Food Consumer Products,MN,6754.9,945.686
"Darden Restaurants, Inc.",374,2009,Food Services,FL,6747.2,944.608
Stryker Corporation,375,2009,Medical Products and Equipment,MI,6718.2,940.548
Avery Dennison Corporation,376,2009,Chemicals,CA,6710.4,939.456
UGI Corporation,377,2009,Energy,PA,6648.2,930.748
"D.R. Horton, Inc.",378,2009,Homebuilders,TX,6646.1,930.454
AbitibiBowater Inc.,379,2009,Forest and Paper Products,SC,6645.1,930.314
"AutoZone, Inc.",380,2009,Specialty Retailers,TN,6522.7,913.178
"WellCare Health Plans, Inc.",381,2009,Health Care: Insurance and Managed Care,FL,6521.9,913.066
KeyCorp,382,2009,Commercial Banks,OH,6499,909.86
Frontier Oil Corporation,383,2009,Petroleum Refining,TX,6498.8,909.832
